,City,lat,lon
0,Clear Lake,43.1370751,-93.3813637
1,Coralville,41.6759977,-91.580705
2,Cedar Falls,42.5361805,-92.447758
3,Des Moines,41.5910323,-93.6046655
4,Davenport,41.5235808,-90.5770967
5,Gowrie,42.2804998,-94.2908304
6,Orange City,43.0072424,-96.0583138
7,Chariton,41.0147155,-93.3074102
8,Vinton,42.1679131,-92.0239504
9,West Des Moines,41.5644476,-93.7594059
10,Dubuque,42.5006243,-90.6647985
11,Ida Grove,42.3449751,-95.4713576
12,Fort Dodge,42.5044017,-94.1910044
13,Marshalltown,42.048881,-92.9122672
14,Muscatine,41.4776121,-91.1210053
15,Cedar Rapids,41.9758872,-91.6704053
16,Cresco,43.3736148,-92.1161444
17,Altoona,41.6437308,-93.4696031
18,Waverly,42.7258451,-92.4746033
19,Parkersburg,42.5755594,-92.7870402
20,Iowa City,41.6612561,-91.5299106
21,Urbandale,41.6274511,-93.7380243
22,Corydon,40.7576063,-93.3182112
23,Ankeny,41.7320796,-93.605092
24,Sheldon,43.1801338,-95.8525185
25,Waterloo,42.498275,-92.3328743
26,Storm Lake,42.6452817,-95.1992726
27,Waukee,41.6118485,-93.8845129
28,Toledo,41.9958439,-92.5790678
29,New Hampton,43.059421,-92.3181158
30,Mason City,43.1524574,-93.2017941
31,Clive,41.6096559,-93.7754644
32,Robins,42.0709929,-91.6668122
33,Hiawatha,42.0482764,-91.6865902
34,Estherville,43.4026638,-94.8363599
35,Council Bluffs,41.258841,-95.8519484
36,Cherokee,42.7247968,-95.6249803
37,Manchester,42.4840907,-91.4555379
38,Osceola,43.3684613,-95.6299944
39,Spencer,43.1415519,-95.1477536
40,Fairfield,41.0072342,-91.9630039
41,Jefferson,41.0131342,-91.9718642
42,Grimes,41.6883214,-93.7910575
43,Pella,41.4073138,-92.9174074
44,Carroll,42.0193628,-94.860335
45,Sioux City,42.4966815,-96.4058782
46,Conrad,42.2247216,-92.8742749
47,Mount Vernon,41.9222443,-91.4171209
48,North Liberty,41.7478297,-91.6064397
49,Clinton,41.9054695,-90.5599971
50,Washington,41.3160082,-91.7340327
51,Polk City,41.7713201,-93.7137582
52,Johnston,41.6731523,-93.6973395
53,Rock Valley,43.205241,-96.294843
54,Pleasant Hill,41.5964843,-93.5148963
55,Sioux Rapids,42.8930479,-95.1511239
56,Buffalo Center,43.3870462,-93.9463511
57,Spirit Lake,43.4224868,-95.1024729
58,Marion,41.3144108,-93.1010141
59,Bettendorf,41.5253792,-90.5098639
60,Huxley,41.8946126,-93.6065898
61,Paton,42.1653578,-94.2543523
62,Ottumwa,41.0195659,-92.4116886
63,Denver,42.6713752,-92.3372158
64,Sheffield,42.8933721,-93.2154756
65,Decorah,43.3041609,-91.7859098
66,Bloomfield,40.7510398,-92.4143872
67,Oskaloosa,41.2951037,-92.6448451
68,Independence,42.4685661,-91.8891187
69,Mount Pleasant,40.966312,-91.5539956
70,Manson,42.5291439,-94.5341421
71,Eldridge,41.6580467,-90.5846035
72,Ames,42.0267567,-93.6170448
73,Knoxville,41.3183891,-93.0971358
74,Solon,41.8072344,-91.4940604
75,Correctionville,42.4749887,-95.785565
76,Kalona,41.483118,-91.7061856
77,Eagle Grove,42.6641418,-93.9046225
78,Tipton,41.7697016,-91.1281732
79,Northwood,43.4441245,-93.2210371
80,Dyersville,42.4844602,-91.1211058
81,Centerville,40.7344306,-92.8742102
82,Allison,42.7556385,-92.7951213
83,Norwalk,41.4755492,-93.6788876
84,Nevada,42.0227653,-93.4524342
85,Rock Rapids,43.4303235,-96.1674831
86,Marcus,42.82471,-95.8079104
87,Anamosa,42.1083371,-91.2851594
88,West Union,42.9624184,-91.8076644
89,Guthrie Center,41.6782701,-94.5020027
90,Forest City,43.2626747,-93.6376741
91,De Witt,41.8236361,-90.5382696
92,Lineville,40.5810627,-93.5241178
93,Seymour,40.6823985,-93.121021
94,Mount Ayr,40.7145873,-94.2381367
95,Fort Madison,40.6311415,-91.3084007
96,Boone,42.0171798,-93.9254114
97,Winterset,41.3347631,-94.0135687
98,Le Mars,42.792151,-96.1662993
99,Creston,41.0585878,-94.361397
100,Reinbeck,42.3242883,-92.5993534
101,Newton,41.6997139,-93.0538852
102,Grinnell,41.7430237,-92.7239637
103,Tama,42.0568108,-92.5433918
104,Britt,43.096967,-93.8019285
105,Sac City,42.4221155,-94.9885843
106,Webster City,42.4695666,-93.8183858
107,Emmetsburg,43.1108076,-94.6781897
108,Peosta,42.4469535,-90.8433797
109,Lake Park,43.455556,-95.3207429
110,Monticello,42.2382752,-91.1869428
111,Atlantic,41.403691,-95.0138705
112,Colfax,41.6777241,-93.2452335
113,Shenandoah,40.7655468,-95.3723535
114,Lake City,42.2674367,-94.7336988
115,West Branch,41.6720735,-91.3459735
116,Guttenberg,42.7858231,-91.0995735
117,Burlington,40.8126922,-91.1020205
118,Wilton,41.5889154,-91.0168179
119,Carlisle,41.4986831,-93.4867511
120,Sioux Center,43.0796879,-96.1756497
121,Iowa Falls,42.5207924,-93.2647595
122,Maquoketa,42.0690915,-90.6654748
123,Garner,43.102147,-93.6020069
124,Belle Plaine,41.8969202,-92.277323
125,Monona,42.0218737,-95.9356631
126,Waukon,43.2694242,-91.4757884
127,Jesup,42.4750516,-92.0632129
128,Grundy Center,42.3616501,-92.7685327
129,Prairie City,41.5987705,-93.2360739
130,Blue Grass,41.5097808,-90.7659148
131,Keokuk,41.3154792,-92.1867128
132,Hawarden,42.9956607,-96.485317
133,West Burlington,40.825083,-91.1565496
134,Fayette,42.8420766,-91.850265
135,Lake Mills,43.4193665,-93.5336177
136,Van Horne,42.0086088,-92.091016
137,Keosauqua,40.7304765,-91.9612961
138,Madrid,41.8766526,-93.8232813
139,New London,40.9260197,-91.402859
140,Marengo,41.8001041,-92.069382
141,Sumner,42.8488865,-92.0970758
142,Indianola,41.3604966,-93.5613292
143,Rockford,43.0521942,-92.9485301
144,New Sharon,41.4697362,-92.6514305
145,Humboldt,42.7756032,-94.1956133
146,Sanborn,43.1816313,-95.6558649
147,Denison,42.0177718,-95.3553286
148,Keystone,41.9988889,-92.1979353
149,Clarion,42.7317899,-93.7321871
150,State Center,42.0167075,-93.1636877
151,Laurens,42.8467508,-94.8513672
152,Tiffin,41.7055666,-91.6662114
153,Adel,41.6174123,-94.0185176
154,Maxwell,41.8919322,-93.3996546
155,Anthon,42.3883493,-95.8665144
156,Windsor Heights,41.6002144,-93.7087635
157,Sergeant Bluff,42.4039197,-96.3589804
158,Panora,41.6916535,-94.3630215
159,Belmond,42.8459977,-93.6143413
160,Hartley,43.1800215,-95.4769635
161,Pocahontas,42.7262681,-94.6477383
162,Bondurant,41.7005441,-93.462157
163,Sibley,43.3989852,-95.7520256
164,Durant,41.5997498,-90.9107038
165,West Liberty,41.5700231,-91.2637695
166,Milford,43.32396,-95.1508003
167,Hull,43.1897632,-96.1338818
168,Arlington,42.748965,-91.6714453
169,Sigourney,41.3330944,-92.2049364
170,Kingsley,42.588231,-95.9672535
171,Onawa,42.0268269,-96.0974618
172,Urbana,42.223793,-91.8755241
173,Palo,42.0660787,-91.7963843
174,Oelwein,42.6778743,-91.9145143
175,George,43.3436751,-96.0022965
176,Atkins,41.9968696,-91.8619127
177,Harlan,41.6550929,-95.3194937
178,Greenfield,41.3049135,-94.4610389
179,Lacona,41.1900135,-93.3832733
180,Buffalo,41.4580146,-90.7171608
181,Lake View,42.3069227,-95.0510911
182,Ogden,42.0391745,-94.0309959
183,Hampton,42.7424776,-93.2080861
184,Shell Rock,42.7109868,-92.5822798
185,Edgewood,42.6444914,-91.4011118
186,Clarinda,40.7389796,-95.0371027
187,Primghar,43.086922,-95.627232
188,Paullina,42.9791228,-95.6877425
189,Janesville,42.6464613,-92.4629005
190,Montezuma,41.5855171,-92.5270227
191,Sully,41.5789787,-92.8464076
192,Dallas Center,41.6844045,-93.9622388
193,Algona,43.0699663,-94.233019
194,Tripoli,42.8023164,-92.2581376
195,Amana,41.8000071,-91.8707335
196,Cascade,42.2984881,-91.0142226
197,Evansdale,42.4771838,-92.288411
198,Strawberry Point,42.6835698,-91.5343621
199,Larchwood,43.453875,-96.434065
200,Nashua,42.9527536,-92.5362956
201,Columbus Junction,41.2791892,-91.3613798
202,Hudson,42.4065857,-92.4553008
203,Perry,41.8386737,-94.1069211
204,Clarence,41.8881899,-91.0558524
205,Brooklyn,41.7286464,-92.4455938
206,Center Point,42.1908265,-91.7851772
207,Le Claire,41.5986442,-90.3434618
208,Boyden,43.190935,-96.005804
209,Postville,43.0865887,-91.5684784
210,Epworth,42.4450016,-90.9320766
211,Ladora,41.7544838,-92.1847689
212,Riverside,41.4797157,-91.5812739
213,Akron,42.8288056,-96.5579415
214,Eldora,42.3606883,-93.099609
215,Winthrop,42.4733189,-91.7343327
216,Okoboji,43.3858803,-95.1487375
217,Stuart,41.5033213,-94.3185737
218,Walcott,41.5857364,-90.7744597
219,Aurelia,42.7125676,-95.4366206
220,De Soto,41.5318591,-94.0085214
221,Corning,40.9901625,-94.7347831
222,Williamsburg,41.6612394,-92.0095079
223,Hopkinton,42.344072,-91.2482814
224,Elkader,42.854533,-91.4040921
225,Baxter,41.8260998,-93.1515905
226,Glenwood,41.0469437,-95.7425055
227,Miles,42.0480365,-90.3158612
228,Masonville,42.4793593,-91.5911481
229,West Bend,42.9577623,-94.4450174
230,Charles City,43.0662177,-92.6794258
231,Missouri Valley,41.5564975,-95.8879438
232,Audubon,41.670205,-94.9106526
233,Albia,41.0264561,-92.8075217
234,Richland,41.1855627,-91.9929315
235,Malvern,41.0024095,-95.5851939
236,Red Oak,41.0095189,-95.228247
237,Osage,43.2841235,-92.8112231
238,Melcher Dallas,41.2242996,-93.2420211
239,Story City,42.1872062,-93.5957713
240,Zearing,42.1612414,-93.2970164
241,La Porte City,42.3149911,-92.1921275
242,North English,41.5137615,-92.0762883
243,Traer,42.193293,-92.4653087
244,Mc Gregor,41.3242517,-93.1579669
245,Clarksville,42.7845552,-92.6679762
246,Humeston,40.8589642,-93.4981269
247,Leon,40.740465,-93.7465075
248,Mediapolis,41.0079667,-91.1640201
249,Hamburg,40.604446,-95.657771
250,Mapleton,42.1658147,-95.7933336
251,Lone Tree,41.4881375,-91.4258091
252,Stanton,40.9815742,-95.1041781
253,Monroe,41.5222145,-93.1018684
254,Bancroft,43.2930198,-94.2182218
255,Ackley,42.5539454,-93.0526788
256,Graettinger,43.2377381,-94.751376
257,Crescent,41.3650699,-95.858422
258,Danville,40.865624,-91.314942
259,Wheatland,41.8316906,-90.8382014
260,Bellevue,42.2587152,-90.4230824
261,Wall Lake,42.2710075,-95.0928003
262,Dike,42.4640851,-92.6282724
263,Radcliffe,42.3155632,-93.4338093
264,Sperry,40.9577342,-91.15874
265,Eddyville,41.1561503,-92.6381659
266,Winfield,41.1287685,-91.4379843
267,Lamoni,40.6228083,-93.9342515
268,Rockwell,42.9850635,-93.1881341
269,Manning,41.9092293,-95.0650571
270,Dunlap,41.8541894,-95.6006149
271,Wapello,41.0137597,-92.4140217
272,Lovilia,41.1343863,-92.9076404
273,Royal,43.0645464,-95.2841381
274,Logan,41.6432257,-95.7894213
275,Avoca,41.4776567,-95.3394897
276,Lansing,43.3618729,-91.2156721
277,Oakland,41.3107195,-95.3966425
278,West Point,40.7173713,-91.4530771
279,Victor,41.7313887,-92.2979429
280,Alleman,41.8200591,-93.611251
281,Lucas,41.0147422,-93.3427643
282,Wellman,41.4650649,-91.8378537
283,Newhall,41.994547,-91.96739
284,Hinton,42.626701,-96.2939254
285,Saint Ansgar,43.3785373,-92.9189658
286,Stacyville,43.4360794,-92.7824109
287,Pomeroy,42.5507101,-94.6851473
288,Doon,43.279423,-96.2344049
289,Whiting,42.1275504,-96.1524914
290,Bedford,40.6680798,-94.719957
291,Woodward,41.8569299,-93.9218956
292,Pleasantville,41.3867741,-93.2694768
293,Odebolt,42.3121507,-95.2520585
294,Remsen,42.8147465,-95.9734047
295,Schleswig,42.1652658,-95.4369432
296,Earling,41.7752001,-95.4175851
297,Exira,41.5905324,-94.8757758
298,Earlham,41.4914439,-94.1229136
299,Fairfax,41.9194471,-91.7810132
300,Shellsburg,42.0944408,-91.8693468
301,Dysart,42.1709373,-92.3062052
302,Van Meter,41.5332166,-93.9548406
303,Wadena,42.8427972,-91.6568531
304,Aplington,42.5840547,-92.8837589
305,Moville,42.4888404,-96.072453
306,Fairbank,42.639211,-92.0488762
307,New Providence,42.28144,-93.1720702
308,Greene,42.0182893,-94.4005864
309,Elk Horn,41.591655,-95.0603232
310,Lime Springs,43.448494,-92.2804954
311,Dakota City,42.7212439,-94.2013744
312,Rockwell City,42.3952576,-94.6338671
313,Homestead,41.7601463,-91.8707645
314,Melbourne,41.9430186,-93.1030319
315,Hubbard,42.3056338,-93.2973812
316,Birmingham,40.8790701,-91.9484649
317,Dixon,41.7427867,-90.782347
318,Garnavillo,42.8685683,-91.2359075
319,Lenox,40.8812978,-94.5588947
320,Armstrong,43.3961637,-94.4801383
321,Wesley,43.0882063,-93.9925877
322,Slater,41.8824145,-93.683684
323,Scranton,42.0209596,-94.545542
324,Elma,43.2442467,-92.4363401
325,Gladbrook,42.1877496,-92.7149998
326,Holstein,42.4893597,-95.5446387
327,Preston,42.050773,-90.3941166
328,Woodbine,41.7371441,-95.7021649
329,Glidden,42.0569297,-94.72887
330,Fredericksburg,42.9652548,-92.1996196
331,Riceville,43.3638674,-92.5543094
332,Mechanicsville,41.9044574,-91.2546067
333,Blencoe,41.9302337,-96.0808117
334,Tabor,40.8983847,-95.6712275
335,Sidney,40.7473867,-95.6468803
336,Fonda,42.5813721,-94.8459922
337,Swan,41.4652721,-93.3112552
338,Granger,41.7610984,-93.8243925
339,Westfield,42.756555,-96.6037461
340,Waucoma,43.0558939,-92.0347006
341,Clermont,43.0014743,-91.6533253
342,Manly,43.2865218,-93.2025304
343,Colo,42.0186361,-93.3153099
344,Jewell,42.3069254,-93.6402159
345,Camanche,41.7880862,-90.2562398
346,Lisbon,41.9211165,-91.3854913
347,Gilbert,42.1069288,-93.6496628
348,Arcadia,42.0868919,-95.0455512
349,Bayard,41.85193,-94.5583076
350,Ainsworth,41.2889125,-91.5523838
351,Central City,42.2039609,-91.5243615
352,Farley,42.4428009,-91.0063067
353,Pleasant Valley,41.5694244,-90.4226015
354,Milton,40.6736285,-92.1616976
355,Elgin,42.9574845,-91.6297632
356,Stratford,42.2715639,-93.927203
357,Bonaparte,40.6982985,-91.802034
358,Ireton,42.9747053,-96.3183457
359,Ossian,43.1461923,-91.764664
360,Montrose,40.5321527,-91.414876
361,Schaller,42.4996245,-95.2933357
362,Titonka,43.236906,-94.0413443
363,Bennett,41.7403023,-90.9737626
364,Farmington,40.6398192,-91.7416121
365,Donnellson,40.6428152,-91.5646028
366,Essex,40.8333176,-95.307168
367,Nora Springs,43.1428168,-93.0055199
368,Underwood,41.3872477,-95.678862
369,Sutherland,42.9742849,-95.4975638
370,Hazleton,42.6173243,-91.9058402
371,Saint Charles,41.288366,-93.8072107
372,Toddville,42.0986015,-91.7167538
373,Wayland,41.1472063,-91.6608311
374,Calmar,43.1828024,-91.86481
375,Lynnville,41.5774965,-92.7835261
376,Tingley,40.8526661,-94.195368
377,Inwood,43.3073497,-96.4320139
378,Truro,41.2097152,-93.8466116
379,Alta,42.6736893,-95.3039943
380,Mitchellville,41.6686882,-93.3581542
381,Morning Sun,41.0959721,-91.2555771
382,Dumont,42.7501516,-92.9731317
383,Latimer,42.7635903,-93.3687645
384,Griswold,41.2347873,-95.1415002
385,Villisca,40.9293163,-94.9769054
386,Coon Rapids,41.8709122,-94.6787232
387,Mallard,42.9378427,-94.6837432
388,Wyoming,42.0591801,-91.0073701
389,Melrose,40.975204,-93.0496663
390,Atalissa,41.5711357,-91.1659888
391,Ruthven,43.1291322,-94.8991531
392,Blairstown,41.9085228,-92.0845975
393,Hospers,43.0723766,-95.9055574
394,Hedrick,41.1724609,-92.3089125
395,Minden,41.4667146,-95.542622
396,Salix,42.3084403,-96.2877387
397,La Motte,42.2954586,-90.6209257
398,Anita,41.4451323,-94.7650448
399,Battle Creek,42.315544,-95.5986135
400,Dayton,42.2613645,-94.0685672
401,Lawler,43.0699613,-92.1505687
